2014,4択,"A、B、Cなどのアルファベットを用いて日本語の音を表記したものを何という？
(1) 仮名 (2) 漢字 (3) 数字 (4) ローマ字",(4) ローマ字,,,タグ
2014,ノーマル,男子は1チーム10人、女子は1チーム12人で行われる、カナダの夏の国技であるスポーツは何でしょう？,ラクロス
2014,ノーマル,アンデス高原一帯にケチュア族が築いた、1533年にスペイン人のピサロによって征服された帝国は何でしょう？,インカ帝国(いんかていこく)
2014,ノーマル,21世紀に入ってからはトルコ、ルーマニア、ジンバブエなどが行った、通貨単位の切り上げや切り下げのことを何というでしょう？,デノミネーション
2014,ノーマル,冒頭の一節「春眠暁を覚えず」が有名な、唐の詩人・孟浩然(もうこうねん)の代表作は何でしょう？,『春暁』(しゅんぎょう)
2014,ノーマル,立てこもりやハイジャック事件に駆けつけて対処する、日本の警察の特殊急襲部隊を、アルファベット3文字で何というでしょう？,SAT(サット)
2014,ノーマル,日本では俳優・松本幸四郎(まつもと・こうしろう)のライフワークとして有名な、セルバンテスの小説『ドン・キホーテ』を下敷きにしたミュージカルは何でしょう？,『ラ・マンチャの男』(『ら・まんちゃのおとこ』)
2014,ノーマル,火星の大気の中で、95%と最も多くの割合を占める気体は何でしょう？,二酸化炭素(にさんかたんそ)
2014,ノーマル,日本では労働組合法第7条で禁止されている、労働者が労働組合に加入しないことを条件として行う雇用契約を何というでしょう？,黄犬契約(おうけんけいやく)
2014,ノーマル,これまでに光GENJI、NYC、Sexy Zoneなどによって歌われた、アニメ『忍たま乱太郎』のオープニング曲は何でしょう？,『勇気100%』(『ゆうき100%』)
2014,ノーマル,歯医者さんの用語で、「プラーク」は歯垢のことですが、「タータ」は何のことでしょう？,歯石(しせき)
2014,ノーマル,ミュンヘン一揆の後に獄中で口述筆記された、ドイツの政治家アドルフ・ヒトラーの著書は何でしょう？,『わが闘争』(『わがとうそう』)
2014,ノーマル,1974年から、水球の公式戦376連勝という記録を残した日本の大学はどこでしょう？,日本体育大学(にほんたいいくだいがく)
2014,ノーマル,目隠しをして、鼻や口などのパーツを顔の正しい位置に置く、正月によく行われる遊びは何でしょう？,福笑い(ふくわらい)
2014,ノーマル,一般に、ピアノの弾き方を「運指(うんし)」というのに対し、バイオリンの弾き方を同じく「運」という字を使って何というでしょう？,運弓(うんきゅう)
2014,ノーマル,『私家版日本語文法』『自家製文章読本(ぶんしょうどくほん)』などのエッセイ集や、小説『吉里吉里人(きりきりじん)』で知られる作家は誰でしょう？,井上ひさし(いのうえひさし)
2014,ノーマル,ラテン語で「炎」という意味の言葉に由来する名前を持つ、和名を「ベニヅル」という鳥は何でしょう？,フラミンゴ
2014,ノーマル,企業や団体などにおいて、同じ学校の出身者によって作られる勢力のことを漢字2文字で何というでしょう？,学閥(がくばつ)
2014,ノーマル,正式名称を「フランス・バニング・コック隊長の市民隊」という、オランダの画家レンブラントの代表作は何でしょう？,『夜警』(『やけい』)
2014,ノーマル,俳句において、「や」「かな」「けり」などの、句を区切る働きをする語のことを特に何というでしょう？,切れ字(きれじ)
2014,ノーマル,日本語では「解職請求」と訳される、国民・住民の意思により公職にある者を解任する手続きのことを何というでしょう？,リコール
2014,ノーマル,セーターなどに見られる菱形のチェックのことを、あるスコットランドの地名から何というでしょう？,アーガイル
2014,ノーマル,歴代モーニング娘。のメンバーの中で最も長期間在籍している、現在のモーニング娘。'14(ワンフォー)のリーダーは誰でしょう？,道重さゆみ(みちしげさゆみ)
2014,ノーマル,スピードやフュージョンなどの種目がある、2本のロープの中をジャンパーが跳ぶ縄跳びの一種を何というでしょう？,ダブルダッチ
2014,ノーマル,ASEANに加盟している10カ国のうち、唯一の内陸国はどこでしょう？,ラオス人民民主共和国(らおすじんみんみんしゅきょうわこく)
2014,ノーマル,小麦粉を練った生地の中にひき肉や玉ねぎを入れ、油で揚げて作られる、ロシアの惣菜パンは何でしょう？,ピロシキ
2014,ノーマル,化学で、一種類の元素だけで構成される物質を「単体」というのに対し、二種類以上の元素が結合してできた物質を何というでしょう？,化合物(かごうぶつ)
2014,ノーマル,観光素材の数、客車の数、九州の県の数から名づけられた、昨年(2013年)10月から運行されたJR九州の豪華列車は何でしょう？,ななつ星(in九州)
2014,ノーマル,「先のことはまったく予想がつかないものだ」という慣用句を、ある長さの単位を用いて何というでしょう？,一寸先は闇(ちょっとさきはやみ)
2014,ノーマル,石川県かほく市には彼の記念館がある、『善の研究』などの著書で知られる日本の哲学者は誰でしょう？,西田幾多郎(にしだきたろう)
2014,ノーマル,日本法律学校を前身とする大学は日本大学ですが、英吉利(イギリス)法律学校を前身とするのは現在の何大学でしょう？,中央大学(ちゅうおうだいがく)
2014,ノーマル,今年(2014年)2月14日にシングル『MyVOICE(マイボイス)』でソロデビューした、かつての人気グループFUNKY MONKEY BABYSのリーダーは誰でしょう？,ファンキー加藤(ふぁんきーかとう)
2014,ノーマル,「牛の囲い場」という意味がある、野球で投手が登板する前に投球練習を行う場所を何というでしょう？,ブルペン
2014,ノーマル,1943年にイングヴァル・カンプラードがスウェーデンで創業した、世界有数の家具チェーン店は何でしょう？,IKEA(イケア)
2014,ノーマル,現在発行されている通常の500円硬貨に含まれる3種類の金属は、銅、亜鉛と何でしょう？,ニッケル
2014,ノーマル,組織や場所、時間にとらわれず働く/スタイルのことを、英語で「遊牧民」を意味する言葉から何というでしょう？,ノマド
2014,ノーマル,昨年(2013年)、奥村直樹(おくむらなおき)が3代目の理事長に就任した、日本の航空・宇宙開発を担う機関は何でしょう？,JAXA(ジャクサ)
2014,ノーマル,ムロアジやトビウオを使ってつくられる、伊豆諸島名産の独特の臭いをもつ干物は何でしょう？,くさや
2014,ノーマル,江戸時代の金貨の単位で、1両の4分の1は分(ぶ)ですが、1分の4分の1は何でしょう？,朱(しゅ)
2014,ノーマル,ベルリンの大通り・ウンターデンリンデンの西の端にある城門で、東西ドイツ統合の象徴とされるのは何でしょう？,ブランデンブルク門(ぶらんでんぶるくもん)
2014,ノーマル,思想・信条などの背景にある考え方や精神的な支えのことを、「背骨」を意味する英語で何というでしょう？,バックボーン
2014,ノーマル,友寄英哲(ともより・ひであき)、後藤裕之(ごとう・ひろゆき)、原口證(はらぐち・あきら)といえば、何の暗記で有名な人物でしょう？,円周率(えんしゅうりつ)
2014,ノーマル,代表作『浮世風呂』『浮世床』で知られる、江戸時代後期の戯作作家は誰でしょう？,式亭三馬(しきてい・さんば)
2014,ノーマル,映画や演劇などで、いくつかの独立した短編を集め、/全体として一つの作品となるように構成したものを何というでしょう？,オムニバス
2014,ノーマル,その名はグラン・サン・ベルナール峠にある修道院で雪上救助犬として活躍していたことに由来する、スイス原産の大型犬は何でしょう？,セント・バーナード
2014,ノーマル,いりこ、ほしあわび、ふかのひれなどがその中身であった、江戸時代の長崎貿易で中国向けの重要な輸出品であった品物のことを何というでしょう？,俵物(たわらもの)
2014,ノーマル,国旗国歌法によって定められている、日本の国歌は何でしょう？,『君が代』(『きみがよ』)
2014,ノーマル,タイトスカートの中でも特に腰から裾のラインがまっすぐなものを、ある文房具に似ていることから何というでしょう？,ペンシルスカート
2014,ノーマル,スキーの種目の中でも、エアリアルやモーグル/などのことを、総称して何スキーというでしょう？,フリースタイルスキー(フリースタイル)
2014,ノーマル,海を渡るときの海図によく用いられる、考案者であるオランダ人地理学者の名前がついた地図の図法は何でしょう？,メルカトル図法(めるかとるずほう)
2014,ノーマル,出入りが激しいことを「門前市をなす」というのに対し、訪れる人がなくて寂れていることを「門前何を張る」というでしょう？,雀羅(じゃくら)
2014,ノーマル,本名を竹内照雄(てるお)という、NHKの長寿番組『ためしてガッテン』の司会としても知られる人気落語家は誰でしょう？,立川志の輔(たてかわ・しのすけ)
2014,ノーマル,モザンビーク、カーボベルデ、ギニアビサウ、ブラジルに共通する公用語は何語でしょう？,ポルトガル語(ぽるとがるご)
2014,ノーマル,息子の光信や孝信(も画家として知られる、代表作に『唐獅子図屏風』『洛中洛外図屏風』がある室町時代の画人は誰でしょう？,狩野永徳(かのう・えいとく)
2014,ノーマル,金箔はこの性質を用いて作られている、金属に打撃を加えると板状に延びる性質を漢字2文字で何というでしょう？,展性(てんせい)
2014,ノーマル,昨年(2013年)はオラクル・チーム・USAが優勝した、1851年から続く世界最古のヨットレースは何でしょう？,アメリカスカップ
2014,ノーマル,クラシック音楽で、作品番号を表すアルファベット2文字は何でしょう？,Op
2014,ノーマル,皆既日食の前後に、太陽光が一か所だけ漏れて強く輝く現象を、ある宝石の名前を使って何というでしょう？,ダイヤモンドリング
2014,ノーマル,古代日本で使われた、和同開珎(わどうかいちん)から乾元大宝(けんげんたいほう)までの12種類の銅銭を何というでしょう？,皇朝十二銭(こうちょうじゅうにせん)
2014,ノーマル,北半球で一番高い山はエベレストですが、南半球で一番高い山は何でしょう？,アコンカグア
2014,ノーマル,メキシコ料理のソース・ワカモレやお寿司のカリフォルニア・ロールには欠かせない、和名をワニナシという果物は何でしょう？,アボカド
2014,ノーマル,辛抱強く忍耐することを、達磨大師(だるまだいし)が長年壁に向かって悟りを得た故事から「面壁何年」というでしょう？,九年(くねん)
2014,ノーマル,星座の「いて座」のモデルになっている、ギリシア神話に登場する半人半馬の賢者は誰でしょう？,ケイローン
2014,ノーマル,「究極」という意味がある、フライングディスクをパスしながら得点を競うスポーツは何でしょう？,アルティメット
2014,ノーマル,熟したりんごやいちご、柑橘類に多く含まれており、ジャムのとろみを生み出す成分として知られる水溶性の食物繊維は何でしょう？,ペクチン
2014,ノーマル,代表作に映画『うる星やつら2ビューティフル・ドリーマー』や『GHOST IN THE SHELL攻殻機動隊-』がある、日本のアニメーション監督は誰でしょう？,押井守(おしい・まもる)
2014,ノーマル,マヨット、レユニオン、マルティニーク、グアドループ、ギアナという5つの海外県を持つ、ヨーロッパの国はどこでしょう？,フランス
2014,ノーマル,奴隷制の惨状を描いた著書『アンクル・トムの小屋』で知られるアメリカの女性作家は誰でしょう？,ストウ夫人(すとうふじん)
2014,ノーマル,おいしい蕎麦の条件といわれる「三たて」といえば、「挽きたて」「打ちたて」と何でしょう？,ゆでたて
2014,ノーマル,国内では「アンジー」の愛称で親しまれている、現在3期目を務めるドイツの首相は誰でしょう？,アンゲラ・ドロテア・メルケル
2014,ノーマル,楽譜に用いられる、「ト音記号」「ヘ音記号」「ハ音記号」を総称して何記号というでしょう？,音部記号(おとぶきごう)
2014,ノーマル,テニスで、前に出てきた相手に対し、脇を抜いていくショットを何というでしょう？,パッシングショット
2014,ノーマル,一般的な天気図において、等圧線は普通何ヘクトパスカルごとに描かれるでしょう？,4ヘクトパスカル
2014,ノーマル,西郷隆盛が、子供たちが努力をしなくなるのを危惧して「児孫(じそん)のために買わない」といったものは何でしょう？,美田(びでん)
2014,ノーマル,主に西洋画を描くときに用いられる、絵の具を混ぜ合わせるのに使う、手持ちの板を何というでしょう？,パレット
2014,ノーマル,2001年公開の映画『チョコレート』で、黒人として初めてアカデミー主演女優賞を受賞したアメリカの女優は誰でしょう？,ハル・ベリー
2014,ノーマル,ギリシア語の「種族」とラテン語の「殺戮」/という言葉を組み合わせて作られた、大量虐殺を意味する言葉は何でしょう？,ジェノサイド
2014,ノーマル,コミュニケーションアプリのLINEで発言の代わりに使われる、人気のキャラクターなどを使った小さなアイコンを何というでしょう？,スタンプ
2014,ノーマル,東経25度線や北緯22度線に国境が引かれている、首都をカイロに置くアフリカの国はどこでしょう？,エジプト
2014,ノーマル,もともとは神が地上に下りること/をいった、退職した官僚が、関係の深い民間企業に再就職することを何というでしょう？,天下り(あまくだり)
2014,ノーマル,スーパーミニウサギやタテゴトアザラシなどの生き物が描かれたパッケージが特徴的な、ネピア社の高級ティッシュペーパーブランドは何でしょう？,鼻セレブ(はなせレブ)
2014,ノーマル,左足を高く上げる独特の投球フォームから「和製ライアン」と呼ばれる、東京ヤクルトスワローズの投手は誰でしょう？,小川泰弘(おがわ・やすひろ)
2014,ノーマル,煙をろ過するために、タバコの吸い口側についている層を何というでしょう？,フィルター
2014,ノーマル,Synthetic Personality Inventoryの頭文字を取った、リクルートキャリア提供の適性検査の一種は何でしょう？,SPI
2014,ノーマル,"全20巻に4,500首以上の歌が収められている、現存する最古の和歌集は何でしょう？",『万葉集』(『まんようしゅう』)
2014,ノーマル,19世紀半ばに世界初の海底ケーブルが設置された、フランスとイギリスの間にある海峡は何でしょう？,ドーバー海峡(どーばーかいきょう)
2014,ノーマル,森昌行が社長を務める、タレントのビートたけしやたけし軍団らが所属する芸能事務所は何でしょう？,オフィス北野(おふぃすきたの)
2014,ノーマル,南米の高地に生息する、グアナコ、ビクーニャ、リャマ、アルパカといえば、いずれも何科の動物でしょう？,ラクダ科(らくだか)
2014,ノーマル,ギターのネックにあたる部分を、三味線では何というでしょう？,棹(さお)
2014,ノーマル,後にユリウス2世によって廃止されている、1494年にスペインとポルトガルの間で結ばれた領土分割条約は何でしょう？,トルデシリャス条約(とるでしりゃすじょうやく)
2014,ノーマル,人間の生前の名前のことを、/死んだあとお坊さんがつける「戒名(かいみょう)」に対して何というでしょう？,俗名(ぞくみょう)
2014,ノーマル,ギリシャ神話で、文芸や音楽など人間のあらゆる知的活動を司る9人の女神たちを何というでしょう？,ミューズ
2014,ノーマル,世界遺産にも登録されている「厳島神社」がある、広島県の市はどこでしょう？,廿日市(はつかいち)
2014,ノーマル,炭酸飲料のペットボトルの底にある、圧力を分散するための5つの凹みのことを、英語の「花びら」に由来する言葉で何というでしょう？,ペタロイド
2014,ノーマル,陸上100m走の世界記録保持者で、男子はウサイン・ボルトですが、女子は誰でしょう？,フローレンス・グリフィス=ジョイナー
2014,ノーマル,和歌山県串本町にある、本州最南端の岬はどこでしょう？,潮岬(しおのみさき)
2014,ノーマル,茶室で茶釜を釣ったり、囲炉裏の上から鍋を釣ったり/するのに用いる、高さを自由に変えられるかぎを何というでしょう？,自在鉤(じざいかぎ)
2014,ノーマル,フランス語で「暖炉」という意味がある、劇場で、入口と観客席の間にあるホールを指す言葉は何でしょう？,ホワイエ
2014,ノーマル,2012年9月に設置された、日本の原子力利用の安全確保を目的とする、環境省の外局は何でしょう？,原子力規制委員会(げんしりょくきせいいいんかい)
2014,ノーマル,安藤百福(あんどう・ももふく)によって創業された、インスタントラーメンを世界で最初に売り出した食品会社は何でしょう？,日清食品(にっしんしょくひん)
2014,ノーマル,16世紀末にサファヴィー朝の首都に定められ、その繁栄ぶりから「世界の半分」と称されたイランの都市はどこでしょう？,イスファハーン
2014,ノーマル,昨年(2013年)の世界水泳で、日本人として初めて個人メドレーで金メダルを獲得した選手は誰でしょう？,瀬戸大也(せと・だいや)
2014,ノーマル,太陽系の8つの惑星のうち、内惑星でも外惑星でもない唯一の惑星は何でしょう？,地球(ちきゅう)
2014,ノーマル,自身の小説から「団塊の世代」という言葉を広めた作家は誰でしょう？,堺屋太一(さかいや・たいち)
2014,ノーマル,船の航行で「取り舵」といえば、進行方向に対して右・左のどちらに曲がることでしょう？,左(ひだり)
2014,ノーマル,民法第732条で禁止されている、すでに配偶者がいるにもかかわらず、別の人物と婚姻関係を結ぶ行為を何というでしょう？,重婚(じゅうこん)
2014,ノーマル,アンディ、オラフ、スパイクといった兄弟がいる、漫画『ピーナッツ』に登場するチャーリー・ブラウンの飼い犬は何でしょう？,スヌーピー
2014,ノーマル,酒に酔って良い気分になることを、羽が生え仙人になって天に登るという意味の四字熟語で何というでしょう？,羽化登仙(うかとうせん)
2014,ノーマル,現在命名されている元素の中で最も原子番号が大きい、原子番号116の元素は何でしょう？,リバモリウム
2014,ノーマル,本名を鎌田善人/という、代表曲に『雪國』『俺ら東京さ行ぐだ』がある歌手は誰でしょう？,吉幾三(よしいくぞう)
2014,ノーマル,東京証券取引所が1999年に開設した、成長可能性のあるベンチャー企業を対象とした株式市場は何でしょう？,マザーズ
2014,ノーマル,毛利元就のいわゆる「三本の矢」の教えを受けたとされる3人の息子とは、毛利隆元、吉川元春と誰でしょう？,小早川隆景(こばやかわ・たかかげ)
2014,ノーマル,食材の「油揚げ」は、何を油で揚げたものでしょう？,豆腐(とうふ)
2014,ノーマル,いずれもひらがなで表記される「あま市」「みよし市」といえば、どこの都道府県にある市でしょう？,愛知(あいち)
2014,ノーマル,1974年にイギリス人女性レスリー・スコットが開発した、スワヒリ語で「組み立てる」という意味があるおもちゃは何でしょう？,ジェンガ
2014,ノーマル,野田洋次郎がボーカルを務める、『有心論』『オーダーメイド』などの代表曲がある日本のロックバンドは何でしょう？,RADWIMPS(ラッドウィンプス)
2014,ノーマル,青緑色のものが一般的な、ビリヤード台の表面を覆う大きな布のことを何というでしょう？,ラシャ
2014,ノーマル,16世紀後半に女真(じょしん)族を統一し、清の前身である後金を建国した人物は誰でしょう？,ヌルハチ
2014,ノーマル,ボウリングで、1投目で倒せなかったピンを、2投目ですべて倒すことを何というでしょう？,スペア
2014,ノーマル,原題を「ラ・トラビアータ」という、高級娼婦のヴィオレッタを主人公とするヴェルディのオペラ作品は何でしょう？,『椿姫』(つばきひめ)
2014,ノーマル,沖縄ではアバサーと呼ばれて食用にされる、体全体にたくさんのトゲを持つことからその名がついた魚は何でしょう？,ハリセンボン
2014,ノーマル,どこにも非の打ち所がない様子を、傷ひとつない宝玉にたとえて何というでしょう？,完璧(かんぺき)
2014,ノーマル,携帯ゲーム機の「NintendoDSi」と「Nintendo3DS」で、通常より大型の機種に共通してつくアルファベット2文字は何でしょう？,LL
2014,ノーマル,タレントのミッツ・マングローブの叔父にあたるアナウンサーは誰でしょう？,徳光和夫(とくみつ・かずお)
2014,ノーマル,ウガンダ、タンザニア、ケニアの3ヶ国にまたがっている、アフリカ大陸最大の湖はどこでしょう？,ヴィクトリア湖(ゔぃくとりあみずうみ)
2014,ノーマル,処理の流れが複雑で非常に読みづらいプログラムのコードのことを、ある食べ物を使って何というでしょう？,スパゲッティコード
2014,ノーマル,東京都港区にある曹洞宗の寺院で、切腹した赤穂浪士たちの墓地があることで知られるのはどこでしょう？,泉岳寺(せんがくじ)
2014,ノーマル,和服で、背中の中心の縫い目から袖口までの長さを何というでしょう？,裄(ゆき)
2014,ノーマル,ダーツでは1ラウンド中に3本全てをブルに入れること、サッカーでは1試合に1人で3得点をあげることを指す言葉は何でしょう？,ハットトリック
2014,ノーマル,アメリカの連邦議会で、上院の任期は6年ですが、下院の任期は何年でしょう？,2年(2ねん)
2014,ノーマル,琴の名手である盲目の美女/とその奉公人・佐助との愛を描いた、谷崎潤一郎の小説は何でしょう？,『春琴抄』(しゅんきんしょう),"1933谷崎潤一郎
春琴は大阪の豪商の娘。"
2014,ノーマル,この日に七草粥を食べることから別名を「七草の節句」という、1月7日にあたる五節句の1つは何でしょう？,人日(じんじつ)の節句(にんにち(じんじつ)のせっく)
2014,ノーマル,統計学で、度数の分布を見やすくするために描かれる棒グラフを特に何というでしょう？,ヒストグラム
2014,ノーマル,(2014年時点で)ブラジル代表のネイマール、アルゼンチン代表のメッシ、スペイン代表のイニエスタが所属するスペインのサッカークラブはどこでしょう？,FCバルセロナ
2014,ノーマル,自分から進んで災いの中に飛び込むことを、「飛んで火に入る何」というでしょう？,夏の虫(なつのむし)
2014,ノーマル,孝徳天皇の即位に伴い、西暦645年に制定された、日本で最初の元号は何でしょう？,大化(たいか)
2014,ノーマル,アンジャベル、じゃこうなでしこ、オランダセキチクなどの別名を持つ、ナデシコ科の多年草は何でしょう？,カーネーション
2014,ノーマル,夏にはSUMMER SONICの東京会場としても使用されている、プロ野球・千葉ロッテマリーンズの本拠地球場はどこでしょう？,QVCマリンフィールド
2014,ノーマル,話が本筋からそれてしまうことを、鉄道に例えて何というでしょう？,脱線(だっせん)
2014,ノーマル,『世代』『地下水道』『灰とダイヤモンド』からなる「抵抗三部作」で有名な、ポーランドの映画監督は誰でしょう？,アンジェイ・ワイダ
2014,ノーマル,「袖(そで)」という意味がある、トレーディングカードを保護するためのビニールの袋を何というでしょう？,スリーブ
2014,ノーマル,祖納(そない)、久部良(くぶら)、比川(ひがわ)という3つの集落がある、日本で最も西に位置する島は何でしょう？,与那国島(よなぐにじま)
2014,ノーマル,人気の軽ワゴン車「N BOX」を販売している自動車メーカーはどこでしょう？,ホンダ
2014,ノーマル,『後漢書』に記された大秦王安敦(たいしんおうあんとん)とはこの人物であるとされる、ローマ帝国の五賢帝最後の皇帝は誰でしょう？,マルクス・アウレリウス・アントニヌス
2014,ノーマル,毎年元日に、実業団日本一をかけたニューイヤー駅伝が行われる都道府県はどこでしょう？,群馬(ぐんま)
2014,ノーマル,約5億4000万年前から4億9000万年前までの時期を指す、古生代の最初に当たる地質時代の区分は何でしょう？,カンブリア紀(かんぶりあき)
2014,ノーマル,1台のピアノを2人で演奏することを、日本語で何というでしょう？,連弾(れんだん)
2014,ノーマル,竜の血を浴びたことで背中の1箇所を除いて不死身となった、叙事詩『ニーベルンゲンの歌』の主人公は誰でしょう？,ジークフリート
2014,ノーマル,神崎武法(かんざき・たけのり)、太田昭宏(おおた・あきひろ)、山口那津男といえば、何という政党の歴代トップを務めた人物でしょう？,公明党(こうめいとう)
2014,ノーマル,ここぞという場面で着る服と、競馬でジョッキーが着る服に共通する呼び名は何でしょう？,勝負服(しょうぶふく)
2014,ノーマル,食事代と交通費を先方が持つことを、人の身体の2つの部分を用いて「何付き」というでしょう？,顎足付き(あごあしつき)
2014,ノーマル,岩崎う大(いわさき・うだい)と槙尾(まきお)ユースケの2人からなる、昨年の『キングオブコント2013』で優勝したお笑いコンビは何でしょう？,かもめんたる
2014,ノーマル,ニュージーランドの人口の約3割が集中する、同国最大の都市はどこでしょう？,オークランド
2014,ノーマル,日本において、出生届は子供が生まれた日から何日以内に出す必要があるでしょう？,14日(14)
2014,ノーマル,命題「AならばBである」に対する、「BでなければAでない」という命題を何というでしょう？,対偶(たいぐう)
2014,ノーマル,日本の大学・四国大学が本部を置く都道府県はどこでしょう？,徳島(とくしま)
2014,ノーマル,キュリー夫人ことマリー・キュリーと娘のイレーヌ・キュリーがともに受賞したノーベル賞の部門は何でしょう？,化学賞(かがくしょう)
2014,ノーマル,洗礼名はドン・バルトロメオである、1563年に日本初のキリシタン大名となった人物は誰でしょう？,大村純忠(おおむら・すみただ)
2014,ノーマル,裏ごししたジャガイモに小麦粉などをねりこんで作られる、イタリアの団子状パスタは何でしょう？,ニョッキ
2014,ノーマル,京都を舞台にした『有頂天家族』『夜は短し歩けよ乙女』などの作品で知られる小説家は誰でしょう？,森見登美彦(もりみ・とみひこ)
2014,ノーマル,一人で大勢の敵に対抗できるほど強いさまを、漢数字の「一」と「千」を使った四字熟語で何というでしょう？,一騎当千(いっきとうせん)
2014,ノーマル,今シーズンよりJリーグのFC岐阜で指揮を取る、現役時代はヴェルディ川崎などで活躍したサッカー指導者は誰でしょう？,ラモス瑠偉(-るい)
2014,ノーマル,エタノールが酸化するとアセトアルデヒドになりますが、アセトアルデヒドが酸化すると何になるでしょう？,酢酸(さくさん)
2014,ノーマル,「鶏頭(けいとう)の十四五本もありぬべし」「柿くへば鐘が鳴るなり法隆寺」などの俳句を残した、明治時代の俳人は誰でしょう？,正岡子規(まさおか・しき)
2014,ノーマル,いいかげんに言うなどしてその場をしのぐことを、「お茶をどうする」というでしょう？,濁す(にごす)
2014,ノーマル,『北の宿から』『UFO』『勝手にしやがれ』などのヒット曲を手がけた作詞家は誰でしょう？,阿久悠(あく・ゆう)
2014,ノーマル,ディスプレイの反射や自動車のヘッドライトを向けられたときなどに感じる過度な「まぶしさ」のことを英語で何というでしょう？,グレア
2014,ノーマル,書道で使用する硯(すずり)において、墨汁を貯/めておく部分を何というでしょう？,海(うみ)
2014,ノーマル,ロシアではクリル列島と呼ばれる、北海道の東に連なる列島は何でしょう？,千島列島(ちしまれっとう)
2014,ノーマル,陸上競技における選手の胴体部分と、彫刻における胴体だけの像を表す際に、共通して用いられるイタリア語は何でしょう？,トルソー
2014,ノーマル,「本能寺の変」で知られる京都の本能寺は何宗の寺院でしょう？,法華宗(ほっけ)
2014,ノーマル,2020年東京オリンピックの担当大臣も兼任する、現在の文部科学大臣は誰でしょう？,下村博文(しもむら・はくぶん)
2014,ノーマル,細い管に入っている液体に見られる、半球状に曲がった液面のことを何というでしょう？,メニスカス
2014,ノーマル,元々はハンガリーのある町で作られた馬車を指した言葉で、現在ではスポーツの技術指導者を指すようになったのは何でしょう？,コーチ
2014,ノーマル,著書に『意志と表象としての世界』がある、ドイツの哲学者は誰でしょう？,アルトゥル・ショーペンハウアー
2014,ノーマル,テレビ東京ホールディングスの筆頭株主である新聞社はどこでしょう？,日本経済新聞社(にほんけいざいしんぶんしゃ)
2014,ノーマル,昭和26年の第1回『NHK紅白歌合戦』で勝利したのは、紅組、白組のどちらだったでしょう？,白組(しろぐみ)
2014,ノーマル,アメリカ合衆国の中央銀行に相当する「連邦準備制度理事会」のことをアルファベット3文字で何というでしょう？,FRB
2014,ノーマル,イタリア語で「まじめな」/という意味がある、ザ・ダイソーに次ぎ業界第2位の売上高を誇る100円ショップチェーンは何でしょう？,セリア
2014,ノーマル,1人で活動する芸人のことを、サイコロで「1」を意味する言葉から何というでしょう？,ピン芸人(ぴんげいにん)
2014,ノーマル,設計した彫刻家バルトルディの母親がモデルとされる、ニューヨークのリバティ島に立つ世界遺産は何でしょう？,自由の女神(じゆうのめがみ)
2014,ノーマル,日本語では「恒常性」と呼ばれる、外部環境が変化しても体の内部の状態を一定に保とうとする仕組みを何というでしょう？,ホメオスタシス
2014,ノーマル,1962年に史上最年少で新人王を獲得した往年のプロ野球選手と、「憲政の神様」と呼ばれた政治家に共通する氏名は何でしょう？,尾崎行雄(おざき・ゆきお)
2014,ノーマル,古代イスラエルの指導者モーセが、神から十戒を授かったとされる山は何でしょう？,シナイ山(しないやま)
2014,ノーマル,ことわざの「頭かくして尻隠さず」や「けんもほろろ」の由来となった鳥は何でしょう？,キジ
2014,ノーマル,宝塚音楽学校の校章にデザインされている、一般的には47本の弦で構成される楽器は何でしょう？,ハープ
2014,ノーマル,高等学校の「公民科」に含まれる3つの科目とは、倫理、政治・経済と何でしょう？,現代社会(げんだいしゃかい)
2014,ノーマル,『みんな我が子』『セールスマンの死』『るつぼ』などの代表作がある、アメリカの劇作家は誰でしょう？,アーサー・ミラー
2014,ノーマル,かき氷の中でも、甘く煮た小豆と抹茶シロップをトッピングしたものを何というでしょう？,宇治金時(うじきんとき)
2014,ノーマル,フランス語で「切り取る」という意味がある、雑誌などについている割引券を指す言葉は何でしょう？,クーポン
2014,ノーマル,保険で、本契約とは別に、本人の希望に応じて付け加える契約のことを何というでしょう？,特約(とくやく)
2014,ノーマル,ノルマンディーの女性貴族ジャンヌの波乱の生涯を描いた、モーパッサンの小説は何でしょう？,『女の一生』(『おんなのいっしょう』)
2014,ノーマル,46才以上のみに受験資格が与えられる、剣道における最高段位は何段でしょう？,八段(はちだん)
2014,ノーマル,薬を売るための長いセリフが見どころとなっている、歌舞伎十八番の演目のひとつは何でしょう？,『外郎売』(ういろううり)
2014,ノーマル,手を引き込まれることもあるため注意が必要である、開いたドアを収納するスペースのことを何というでしょう？,戸袋(とぶくろ)
2014,ノーマル,乾燥させたものは「当薬」と呼ばれて珍重された、1000回振り出してもまだ苦いことからその名が付いたリンドウ科の植物は何でしょう？,センブリ
2014,ノーマル,ウィリアム・アダムスやヤン・ヨーステンが乗船していた、1600年に現在の大分県に漂着したオランダ船は何でしょう？,リーフデ号(りーふでごう)
2014,ノーマル,21世紀のロンドンを舞台に、作家コナン・ドイルが生みだした名探偵の活躍を描く、イギリスの人気ドラマは何でしょう？,『Sherlock』(シャーロック)
2014,ノーマル,火山ガラスや石英などからなる白い堆積物の総称/で、特に九州南部に広がる台地で知られるのは何でしょう？,シラス
2014,ノーマル,アメリカンフットボールで、反則があった場合に審判が投げ込む旗は何色でしょう？,黄色(きいろ)
